FIX:0,  DATE TIME:x013830,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013830,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013830,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013833,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013833,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013833,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013837,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013837,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013837,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013840,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013840,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
ACC Interface 
------------------Testing GPS:
FIX:0,  DATE TIME:xx,  LAT;0.000000x;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
ACC Interface 
------------------Testing GPS:
FIX:0,  DATE TIME:xx,  LAT;0.000000x;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:xx,  LAT;0.000000x;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013854,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013854,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013854,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013857,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013857,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013857,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013900,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013900,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013900,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013903,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013903,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013906,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013906,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013906,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013906,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013910,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013910,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013913,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013913,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013913,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013916,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013916,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013916,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013919,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013919,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013919,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013923,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013923,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013923,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013926,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013926,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013926,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013929,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013929,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013932,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013932,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013932,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013935,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013935,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013935,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013939,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013939,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013939,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013942,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013942,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013942,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013945,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013945,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013945,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013948,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013948,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013952,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013952,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x013952,  LAT;312.3833310.1N;   LON:0.000000N;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
