ACC Interface 
------------------Testing GPS:
FIX:0,  DATE TIME:xx,  LAT;0.000000x;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
ACC Interface 
------------------Testing GPS:
FIX:0,  DATE TIME:xx,  LAT;0.000000x;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070043,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070043,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070045,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070047,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070048,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070048,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070049,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070052,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070053,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070054,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070054,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070056,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070057,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070059,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070059,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070100,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070102,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070103,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070103,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070105,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
FIX:0,  DATE TIME:x070107,  LAT;112.383331N;   LON:0.000000x;  SPEED:0.0;  HEAD:0.00;  SATNO:0 ;  ALT:0.0
